No.,Date,Sub Genre,CollectionName,No.,SongDate,Artist Name,Song Name,Sub Genre 1,Sub Genre 2,YouTube URL,Memo,Tagline,Bot Name,,,,,,,,
38,2016-12-06,Reggae Fusion,FROM THE ISLANDS,226,2016-12-05,Tony Matterhorn,Dutty Wine,Reggae,,https://www.youtube.com/watch?v=cg0qluaxpOo,Good,RELENTLESS JAMAICAN DRUMS,TerryWilliams,,,,,,,,
38,2016-12-06,Reggae Fusion,FROM THE ISLANDS,227,2016-12-07,Mr Vegas,Bruk it Down,Reggae,,https://www.youtube.com/watch?v=v5EBrftUKBY,Good,BOOTYLICIOUS VIDEOGAME,TerryWilliams,,,,,,,,
38,2016-12-06,Reggae Fusion,FROM THE ISLANDS,228,2016-12-07,OmoAkin,Twerk For Me,Global,,https://www.youtube.com/watch?v=_ODwuqDV_C4,Good,African Twerk,TerryWilliams,,,,,,,,
39,2016-12-06,Trap,DRUG INDUCED,229,2016-12-05,Future,Stick Talk,Trap,,https://www.youtube.com/watch?v=MXGORPXI6QQ,Good,TELL A LIE UNDER OATH,drunkdancer,,,,,,,,
39,2016-12-06,Trap,DRUG INDUCED,230,2016-12-05,Fetty Wap,679,Trap,,https://www.youtube.com/watch?v=Pzz4Z-O7710,Good,FOR THA REMY GIRLS,drunkdancer,,,,,,,,
39,2016-12-06,Trap,DRUG INDUCED,231,2016-12-07,Travis Porter,Ayy Ladies,Trap,,https://www.youtube.com/watch?v=zIZQavWpxHo,Good,DIRTY ASS HORN,drunkdancer,,,,,,,,
39,2016-12-06,Trap,DRUG INDUCED,232,2016-12-07,Future,Wicked,Trap,,https://www.youtube.com/watch?v=3gt-rxxs-RQ,Good,DARK TRANCE,drunkdancer,,,,,,,,
39,2016-12-06,Trap,DRUG INDUCED,233,2016-12-07,Lil Bibby ,Boy,Trap,,https://www.youtube.com/watch?v=er4am1Gnhdk,Good,HEAVY HITTER,drunkdancer,,,,,,,,
39,2016-12-06,Trap,DRUG INDUCED,234,2016-12-07,Schoolboy Q,That Part,Trap,,https://www.youtube.com/watch?v=uQ_DHRI-Xp0,Good,SWIRLING AROUND THE HEAD,drunkdancer,,,,,,,,
40,2016-12-07,Trap,BAD GIRLS KNOW,235,2016-12-06,Tyga,Rack City,Trap,,https://www.youtube.com/watch?v=AE3yia1AJeQ,Good,THE ANTHEM,drunkdancer,,,,,,,,
40,2016-12-07,Trap,BAD GIRLS KNOW,236,2016-12-06,T-Pain,Booty Wurk,Trap,,https://www.youtube.com/watch?v=L-VnjtQhKc0,Good,GO AHEAD,drunkdancer,,,,,,,,
40,2016-12-07,Trap,BAD GIRLS KNOW,237,2016-12-05,Big Sean,Dance,Trap,,https://www.youtube.com/watch?v=pn1VGytzXus,Good,WOBBLE,drunkdancer,,,,,,,,
40,2016-12-07,Trap,BAD GIRLS KNOW,238,2016-12-05,Nicki Minaj,Anaconda,Mainstream Rap,Dance Pop,https://www.youtube.com/watch?v=LDZX4ooRsWs,Good,MAJOR UPDATE,drunkdancer,,,,,,,,
40,2016-12-07,Trap,BAD GIRLS KNOW,239,2016-12-05,Rae Shremmurd,Come Get Her,Mainstream Rap,,https://www.youtube.com/watch?v=_7anctpbSSo,Good,NOBODY EXPECTED THIS ACT,drunkdancer,,,,,,,,
40,2016-12-07,Trap,BAD GIRLS KNOW,240,2016-12-05,Tyga,Lap Dance,Trap,,https://www.youtube.com/watch?v=lh8f0B9A9-E,Good,WHAT DO YOU NEED,drunkdancer,,,,,,,,
41,2016-12-07,Dance Pop,DANCE OF LOVE,241,2016-12-05,Justin Bieber,What Do You Mean,Reggae Fusion,Dance Pop,https://www.youtube.com/watch?v=DK_0jXPuIr0,Good,SHOULD I STAY OR SHOULD I GO,zackattack99,,,,,,,,
41,2016-12-07,Dance Pop,DANCE OF LOVE,242,2016-12-05,Mario,Let Me Love You,R&B/Soul,,https://www.youtube.com/watch?v=H64QG4UsrGI,Good,A SWEET SERENADE,zackattack99,,,,,,,,
41,2016-12-07,Dance Pop,DANCE OF LOVE,243,2016-12-06,Nelly Furtado,Promiscuous,R&B/Soul,Funk/Groove,https://www.youtube.com/watch?v=0J3vgcE5i2o,Good,THE HOOK WAS ALWAYS COOL,zackattack99,,,,,,,,
41,2016-12-07,Dance Pop,DANCE OF LOVE,244,2016-12-06,Chris Brown,Paradise,EDM,Dance Pop,https://www.youtube.com/watch?v=2_wpOmM1d8w&list=PLcfgpjzMYTNWqhb2ZgEWNGqD00Pp_ugVW&index=14,Good,REMEMBER THIS WHEN I'M GONE,zackattack99,,,,,,,,
41,2016-12-07,Dance Pop,DANCE OF LOVE,245,2016-12-06,Jay-Z,Excuse Me Miss,Classic/Regional,,https://www.youtube.com/watch?v=tnDh0JhmaFw,Good,"LADY, WHAT'S YOUR NAME",zackattack99,,,,,,,,
41,2016-12-07,Dance Pop,DANCE OF LOVE,246,2016-12-06,David Guetta ,This One's For You,EDM,,https://www.youtube.com/watch?v=MoHnffhBwqs&index=18&list=PLcfgpjzMYTNWqhb2ZgEWNGqD00Pp_ugVW,Good,BEAT BRINGS THE WORLD TOGETHER,zackattack99,,,,,,,,
42,2016-12-05,Dance Pop,COME TOGETHER,247,2016-12-07,Hailee Steinfeld,Starving,Dance Pop,,https://www.youtube.com/watch?v=xwjwCFZpdns&list=PL9NY5axt700FjL6HlEhqlMFT1gjMGVBgy&index=19,Good,WORKING UP AN APPETITE,zackattack99,,,,,,,,
42,2016-12-05,Dance Pop,COME TOGETHER,248,2016-12-07,Sara Bareilles,Brave,Dance Pop,,https://www.youtube.com/watch?v=QUQsqBqxoR4,Good,LET THE WORDS FALL OUT,zackattack99,,,,,,,,
42,2016-12-05,Dance Pop,COME TOGETHER,249,2016-12-07,Hellogoodbye,Here,Punk Rock,,https://www.youtube.com/watch?v=LSAECj0GXWQ,Good,A LOVING CHORUS,zackattack99,,,,,,,,
42,2016-12-05,Dance Pop,COME TOGETHER,250,2016-12-07,Natasha Bedingfield,Love Like This,Blues,,https://www.youtube.com/watch?v=BPTZVmJrIpo,Good,DEDICATED TO ADORABLE COUPLES,zackattack99,,,,,,,,
42,2016-12-05,Dance Pop,COME TOGETHER,251,2016-12-06,Vanessa Carlton,A Thousand Miles,Pop/Soft Rock,,https://www.youtube.com/watch?v=Cwkej79U3ek,Good,CAN I SEE YOU TONIGHT,zackattack99,,,,,,,,
42,2016-12-05,Dance Pop,COME TOGETHER,252,2016-12-06,Field Mob,So What,R&B/Soul,,https://www.youtube.com/watch?v=4A5OHPLyW3s,Good,"LOVING THE SOUL, NOT THE SURFACE",zackattack99,,,,,,,,
43,2016-12-06,Dance Pop,STANDING STRONG,253,2016-12-05,Janelle Monae,Yoga,Synth Pop,Alternative R&B,https://www.youtube.com/watch?v=0OkB6p_FZAw,Good,MAKE IT LAST,Don.0.van95,,,,,,,,
43,2016-12-06,Dance Pop,STANDING STRONG,254,2016-12-05,Lily Allen,Smile,Reggae Fusion,Blues,https://www.youtube.com/watch?v=0WxDrVUrSvI,Good,WHEN I SEE YOU CRY ,Don.0.van95,,,,,,,,
43,2016-12-06,Dance Pop,STANDING STRONG,255,2016-12-07,Sara Bareillis,Love Song,Dance Rock,,https://www.youtube.com/watch?v=qi7Yh16dA0w,Good,TRUTH FROM THE JUKEBOX ,Don.0.van95,,,,,,,,
43,2016-12-06,Dance Pop,STANDING STRONG,256,2016-12-07,Kehlani,CRZY,Mainstream Rap,,https://www.youtube.com/watch?v=2d7U4CX0PHk&index=4&list=PLi0vNpDrBJPdBZ25NavJNN0_NtZakbEfD,Good,WHEN THE BEAT DROPS,Don.0.van95,,,,,,,,
43,2016-12-06,Dance Pop,STANDING STRONG,257,2016-12-05,Katy Perry,Roar,Dance Pop,,https://www.youtube.com/watch?v=CevxZvSJLk8&list=PL4ziQDgKv4ErEK9Ey_qziU0IvtXNmwjzO,Good,STAND ON YOUR OWN TWO FEET,Don.0.van95,,,,,,,,
43,2016-12-06,Dance Pop,STANDING STRONG,258,2016-12-05,Beyonce,7/11,Mainstream Rap,Funk/Groove,https://www.youtube.com/watch?v=k4YRWT_Aldo,Good,SMACK CLAP REPEAT,Don.0.van95,,,,,,,,
44,2016-12-07,Dance Pop,TEEN SPIRIT,259,2016-12-05,Yall,Hundred Miles,EDM,,https://www.youtube.com/watch?v=9hmd7of42DM&index=25&list=PLcfgpjzMYTNWqhb2ZgEWNGqD00Pp_ugVW,Good,NEVER MISS A STEP,Don.0.van95,,,,,,,,
44,2016-12-07,Dance Pop,TEEN SPIRIT,260,2016-12-05,Miley Cyrus,Party In the U.S.A.,Dance Pop,,https://www.youtube.com/watch?v=M11SvDtPBhA&list=PLUeQeWwe7nUUe6cDacIGAV-nZ0LputNpS,Good,SO CATCHY,Don.0.van95,,,,,,,,
44,2016-12-07,Dance Pop,TEEN SPIRIT,261,2016-12-06,Tame Impala,The Less I Know the Better,Dance Rock,Funk/Groove,https://www.youtube.com/watch?v=eoU7_qCgUAI,Good,Funky Students,Don.0.van95,,,,,,,,
44,2016-12-07,Dance Pop,TEEN SPIRIT,262,2016-12-06,Carley Rae Jespen,Call Me Maybe,Dance Pop,,https://www.youtube.com/watch?v=fWNaR-rxAic,Good,SUCH A FLIRT,Don.0.van95,,,,,,,,
44,2016-12-07,Dance Pop,TEEN SPIRIT,263,2016-12-06,Charli XCX,After the Afterparty,Dance Pop,,https://www.youtube.com/watch?v=OM33anTtEVE&list=PL4QNnZJr8sROpuFxzrK5it_PBCEWWLAvY,Good,BUBBLLEGUM IN THE LIVING ROOM,Don.0.van95,,,,,,,,
44,2016-12-07,Dance Pop,TEEN SPIRIT,264,2016-12-06,Bonnie McKee,Wasted Youth,Dance Pop,,https://www.youtube.com/watch?v=HQ3ZwvohOkI,Good,Gone So Soon,Don.0.van95,,,,,,,,
45,2016-12-05,Dance Pop,IT'S ALL GOOD,265,2016-12-07,Ariana Grande,Break Free,Dance Pop,,https://www.youtube.com/watch?v=L8eRzOYhLuw&list=PL4QNnZJr8sROpuFxzrK5it_PBCEWWLAvY&index=15,Good,IRRESISTABLE,Don.0.van95,,,,,,,,
45,2016-12-05,Dance Pop,IT'S ALL GOOD,266,2016-12-07,Pharrell Williams,Marylin Monroe,Funk/Groove,,https://www.youtube.com/watch?v=nXXVMcyy_Ag,Good,NOTHING COMPARES TO YOU,Don.0.van95,,,,,,,,
45,2016-12-05,Dance Pop,IT'S ALL GOOD,267,2016-12-06,Jamie Foxx,Slow Jamz,R&B/Soul,Classic/Regional,https://www.youtube.com/watch?v=hWmgsfiklcs,Good,LOVE IT SLOW,Don.0.van95,,,,,,,,
45,2016-12-05,Dance Pop,IT'S ALL GOOD,268,2016-12-06,Meghan Trainor,All About That Base,Dance Pop,,https://www.youtube.com/watch?v=7PCkvCPvDXk,Good,EVERY INCH IS PERFECT,Don.0.van95,,,,,,,,
45,2016-12-05,Dance Pop,IT'S ALL GOOD,269,2016-12-07,Phantogram,Fall in Love,Synth Pop,,https://www.youtube.com/watch?v=RsQjC5zVnt8,Good,BEAUTIFUL BUZZING BEAT,Don.0.van95,,,,,,,,
45,2016-12-05,Dance Pop,IT'S ALL GOOD,270,2016-12-07,Snoop Dogg,Sensual Seduction,Funk/Groove,Classic/Regional,https://www.youtube.com/watch?v=Y1PVmANeyAg,Good,LET'S LIVE IN THIS WORLD,Don.0.van95,,,,,,,,
46,2016-12-06,Punk Rock,PHUN PUNKS,271,2016-12-06,Good Charlotte,40 oz. Dream,Punk Rock,,https://www.youtube.com/watch?v=MMp_xIUy8L4&list=PLDyS-gcs9a3a0Kzy_srW8ftgtgp-ozWe8,Good,CALIFORNIA STILL KNOWS HOW,Loba55,,,,,,,,
46,2016-12-06,Punk Rock,PHUN PUNKS,272,2016-12-06,The All American Rejects,Gives You Hell,Punk Rock,,https://www.youtube.com/watch?v=uxUATkpMQ8A,Good,NICE AND RUDE,Loba55,,,,,,,,
46,2016-12-06,Punk Rock,PHUN PUNKS,273,2016-12-07,Weezer,Beverly Hills,Alt/Indie,,https://www.youtube.com/watch?v=HL_WvOly7mY,Good,THAT'S WHERE I WANNA BE,Loba55,,,,,,,,
46,2016-12-06,Punk Rock,PHUN PUNKS,274,2016-12-07,Green Day,Still Breathing,Punk Rock,,https://www.youtube.com/watch?v=SUzsih7QJSY,Good,ALIVE ON A STORMY DAY,Loba55,,,,,,,,
46,2016-12-06,Punk Rock,PHUN PUNKS,275,2016-12-05,Weezer,Go Away,Alt/Indie,,https://www.youtube.com/watch?v=pnTIsubYbCU,Good,COMICAL LOVE,Loba55,,,,,,,,
46,2016-12-06,Punk Rock,PHUN PUNKS,276,2016-12-05,Sum 41,In Too Deep,Punk Rock,,https://www.youtube.com/watch?v=emGri7i8Y2Y,Good,WHOSE GOT WHAT IT TAKES,Loba55,,,,,,,,
47,2016-12-06,Dance Pop,SHARING SIGHT,277,2016-12-05,Pitbull,Fun,Funk/Groove,Latin Dance,https://www.youtube.com/watch?v=jKbR7u8J5PU,Good,THAT FUNKY MIAMI BEAT,Don.0.van95,,,,,,,,
47,2016-12-06,Dance Pop,SHARING SIGHT,278,2016-12-05,Prince Royce,Back It Up,Reggae Fusion,,https://www.youtube.com/watch?v=9w9dXWU5nMI,Good,MAMI AND PAPI ARE BUSY,Don.0.van95,,,,,,,,
47,2016-12-06,Dance Pop,SHARING SIGHT,279,2016-12-07,Bonnie McKee,American Girl,Dance Pop,,https://www.youtube.com/watch?v=-Uh6VZF0R5U,Good,RAISED BY TELEVISION,Don.0.van95,,,,,,,,
47,2016-12-06,Dance Pop,SHARING SIGHT,280,2016-12-07,Gwen Stefani,Hollaback Girl,Dance Pop,,https://www.youtube.com/watch?v=Kgjkth6BRRY&index=12&list=PL4QNnZJr8sROpuFxzrK5it_PBCEWWLAvY,Good,THE HORNS SLAY,Don.0.van95,,,,,,,,
47,2016-12-06,Dance Pop,SHARING SIGHT,281,2016-12-05,Simple Plan,I Don't Wanna Go To Bed,Dance Rock,,https://www.youtube.com/watch?v=Y9ovl3ixqHs,Good,BAYWATCH THROWBACK,Don.0.van95,,,,,,,,
47,2016-12-06,Dance Pop,SHARING SIGHT,282,2016-12-05,KONGOS,Come With Me Now,Dance Rock,,https://www.youtube.com/watch?v=Gz2GVlQkn4Q,Good,STRANGE BUT LIGHT BREW,Don.0.van95,,,,,,,,
48,2016-12-05,EDM,BEACH BEATS,283,2016-12-07,FAIS,Hey,EDM,,https://www.youtube.com/watch?v=xHUIbFNO0II&index=21&list=PLcfgpjzMYTNWqhb2ZgEWNGqD00Pp_ugVW,Good,PURE BLISS,MyFloor,,,,,,,,
48,2016-12-05,EDM,BEACH BEATS,284,2016-12-07,Deepend,I'm Intoxicated,EDM,,https://www.youtube.com/watch?v=57Jf8n34kDU,Good,"EVERYONE, GATHER AROUND",MyFloor,,,,,,,,
48,2016-12-05,EDM,BEACH BEATS,285,2016-12-06,One Direction,What Makes You Beautiful,Dance Pop,,https://www.youtube.com/watch?v=QJO3ROT-A4E,Good,BEAUTIFUL EXPLAINATION,MyFloor,,,,,,,,
48,2016-12-05,EDM,BEACH BEATS,286,2016-12-06,DVBBS,Never Leave,EDM,,https://www.youtube.com/watch?v=dU3r68jWp0w,Good,PCH MEMORIES,MyFloor,,,,,,,,
48,2016-12-05,EDM,BEACH BEATS,287,2016-12-07,Jake Miller,Dazed and Confused,Alternative R&B,,https://www.youtube.com/watch?v=x8Nh0rLS9yg,Good,LOST IN HER EYES,MyFloor,,,,,,,,
48,2016-12-05,EDM,BEACH BEATS,288,2016-12-07,Kygo,Carry Me,EDM,,https://www.youtube.com/watch?v=vusqQJ56iIM&index=27&list=PLcpXNcNrFg372FSM8WhfBKxVq8cds2_bM,Good,BE THERE FOR EACHOTHER,MyFloor,,,,,,,,
49,2016-12-07,Synth Pop,LIMITLESS,289,2016-12-06,Taylor Swift,Style,Synth Pop,,https://www.youtube.com/watch?v=-CmadmM5cOk&index=5&list=PLJhKEt4Hct7XHFHkJtm7O9cS9ZA-nQcxr,Good,THE MOTORING BEAT IS SOOO GOOD,itakephotos,,,,,,,,
49,2016-12-07,Synth Pop,LIMITLESS,290,2016-12-06,Avril Lavigne,Sippin' On Sunshine,Classic Pop,,https://www.youtube.com/watch?v=iGMV2rRrH1E,Good,GET IN YOUR VANOGAN AND DRIVE,itakephotos,,,,,,,,
49,2016-12-07,Synth Pop,LIMITLESS,291,2016-12-05,Foster the People,Pumped Up Kicks,Dance Rock,Alt/Indie,https://www.youtube.com/watch?v=SDTZ7iX4vTQ,Good,WITH TINY VOICES,itakephotos,,,,,,,,
49,2016-12-07,Synth Pop,LIMITLESS,292,2016-12-05,CHVRCHES,Empty Threat,Synth Pop,,https://www.youtube.com/watch?v=KNHxwSp-6Og&index=15&list=PLJhKEt4Hct7XHFHkJtm7O9cS9ZA-nQcxr,Good,BRIGHTEN UP A DARK MOOD,itakephotos,,,,,,,,
49,2016-12-07,Synth Pop,LIMITLESS,293,2016-12-05,SAINT MOTEL,My Type,Funk/Groove,Dance Rock,https://www.youtube.com/watch?v=IyVPyKrx0Xo,Good,FUNKY DISCO PARTY,itakephotos,,,,,,,,
49,2016-12-07,Synth Pop,LIMITLESS,294,2016-12-05,Mounties,Tokyo Summer,Alt/Indie,,https://www.youtube.com/watch?v=YAq1EUg15bk,Good,A VACATION NOT TO BE FORGOTTEN,itakephotos,,,,,,,,
50,2016-12-06,Dance Rock,DANCING HEART,295,2016-12-05,Grouplove,Do You Love Someone,Dance Rock,,https://www.youtube.com/watch?v=1x1wjGKHjBI&list=PL4PIhL7MknfXDFr61t1ujYIcFnkLIXljW&index=11,Good,SPREAD THA LOVE,DennisL23,,,,,,,,
50,2016-12-06,Dance Rock,DANCING HEART,296,2016-12-05,Simple Plan,Summer Paradise,Alt/Indie,,https://www.youtube.com/watch?v=qjHlgrGsLWQ&list=PL47212BE888E2E844&index=6,Good,TRUE LOVE ON THE BEACH,DennisL23,,,,,,,,
50,2016-12-06,Dance Rock,DANCING HEART,297,2016-12-07,Editors,Munich,Dance Rock,,https://www.youtube.com/watch?v=eO7tVypeYAo&list=PL2356AAD0BA8452BE&index=15,Good,DRIVING THE FEELING OF NEED,DennisL23,,,,,,,,
50,2016-12-06,Dance Rock,DANCING HEART,298,2016-12-07,Los Campesinos,You! Me! Dancing!,Alt/Indie,,https://www.youtube.com/watch?v=Nj6SO_yKMe8&index=21&list=PL2356AAD0BA8452BE,Good,SOUNDS LIKE FUN TO ME,DennisL23,,,,,,,,
50,2016-12-06,Dance Rock,DANCING HEART,299,2016-12-05,The Hives,Walk Idiot Walk,Alt/Indie,,https://www.youtube.com/watch?v=ysGtBZX32I0,Good,BOTTOMLESS ENERGY,DennisL23,,,,,,,,
50,2016-12-06,Dance Rock,DANCING HEART,300,2016-12-05,Walk the Moon,Shut Up and Dance,Dance Rock,,https://www.youtube.com/watch?v=6JCLY0Rlx6Q,Good,MAKE YOUR NOT SUNNY,DennisL23,,,,,,,,
51,2016-12-06,EDM,SWEAT ,301,2016-12-05,Tujamo,Keep Pushin,EDM,,https://www.youtube.com/watch?v=9W8Q9FvH1XA,Good,FOR LIMBER GIRLS,MyFloor,,,,,,,,
51,2016-12-06,EDM,SWEAT ,302,2016-12-05,Sak Noel,Loca People,EDM,,https://www.youtube.com/watch?v=-d6b1yn-YhQ,Good,"ALL DAY , ALL NIGHT",MyFloor,,,,,,,,
51,2016-12-06,EDM,SWEAT,303,2016-12-05,Timbaland,Hands in the Air,EDM,,https://www.youtube.com/watch?v=ZdtNR0Gu_FI,Good,OWNER OF YOUR OWN CLUB,MyFloor,,,,,,,,
51,2016-12-06,EDM,SWEAT,304,2016-12-05,Major Lazer,Lean On,Reggae Fusion,,https://www.youtube.com/watch?v=YqeW9_5kURI,Good,BOLLYWOOD HOMAGE,MyFloor,,,,,,,,
51,2016-12-06,EDM,SWEAT,305,2016-12-07,Oliver Heldens,Last All Night,House,,https://www.youtube.com/watch?v=8e_Vn3M79ao,Good,MAD SCIENTISTS CREATED THIS GROOVE,MyFloor,,,,,,,,
51,2016-12-06,EDM,SWEAT,306,2016-12-07,Diplo,Butters Theme,House,,https://www.youtube.com/watch?v=GogWJbyLW8Q,Good,A TONE TO TONE TO,MyFloor,,,,,,,,
52,2016-12-06,House,SHAKE WHAT YOU GOT,307,2016-12-05,Martin Solveig,Intoxicated,House,,https://www.youtube.com/watch?v=94Rq2TX0wj4,Good,DANCE FOR ROMANCE,Masuda,,,,,,,,
52,2016-12-06,House,SHAKE WHAT YOU GOT,308,2016-12-05,David Guetta ,Play Hard,EDM,,https://www.youtube.com/watch?v=5dbEhBKGOtY,Good,"WORK HARD, PLAY HARD",Masuda,,,,,,,,
52,2016-12-06,House,SHAKE WHAT YOU GOT,309,2016-12-05,Keiza,Hideaway,House,,https://www.youtube.com/watch?v=ESXgJ9-H-2U,Good,ONE TAKE SHAKE,Masuda,,,,,,,,
52,2016-12-06,House,SHAKE WHAT YOU GOT,310,2016-12-05,Stromae,Papaoutai,House,,https://www.youtube.com/watch?v=oiKj0Z_Xnjc,Good,INTENSE INFLUENCES,Masuda,,,,,,,,
52,2016-12-06,House,SHAKE WHAT YOU GOT,311,2016-12-07,Capital Cities,Safe and Sound,Synth Pop,Dance Rock,https://www.youtube.com/watch?v=47dtFZ8CFo8,Good,ANYBODY CAN DANCE TO THIS,Masuda,,,,,,,,
52,2016-12-06,House,SHAKE WHAT YOU GOT,312,2016-12-07,Natalie La Rose,Somebody,Synth Pop,,https://www.youtube.com/watch?v=8zqdo_Umd5c,Good,TAKING OVER AND TURNIN UP,Masuda,,,,,,,,
53,2016-12-07,EDM,PROGRAM TO THIS,313,2016-12-05,Benny Benassi,Cinema,House,,https://www.youtube.com/watch?v=8k01lcSB0-g,Good,VR LOVER,DancingDoug,,,,,,,,
53,2016-12-07,EDM,PROGRAM TO THIS,314,2016-12-05,Steve Aoki,Turbulence,EDM,,https://www.youtube.com/watch?v=y3OzHBEcymw,Good,HIGH ALTITUDE ENERGY,DancingDoug,,,,,,,,
53,2016-12-07,EDM,PROGRAM TO THIS,315,2016-12-06,Quintino,Work It,EDM,,https://www.youtube.com/watch?v=i5v41eOY-o4,Good,STAY ON TASK,DancingDoug,,,,,,,,
53,2016-12-07,EDM,PROGRAM TO THIS,316,2016-12-06,Jay Hardway,Bootcamp,House,,https://www.youtube.com/watch?v=2sciMH5NLU8,Good,LISTEN TO THE ELEMENTS,DancingDoug,,,,,,,,
53,2016-12-07,EDM,PROGRAM TO THIS,317,2016-12-06,Showtek & Ookay,Bouncer,EDM,,https://www.youtube.com/watch?v=eTN9dPAmZFQ,Good,TECHNICALLY SOUND,DancingDoug,,,,,,,,
53,2016-12-07,EDM,PROGRAM TO THIS,318,2016-12-06,Steve Aoki,Born to Get Wild,EDM,,https://www.youtube.com/watch?v=O2yS8wzji00,Good,WILD PSYCH WARD ,DancingDoug,,,,,,,,
54,2016-12-07,House,INTENSE,319,2016-12-05,MaxRiven,Rhythm is a Dancer,House,,https://www.youtube.com/watch?v=aq4AZi8uocU,Good,GROOVE FOR LOYAL MINIONS,Moonwalker82,,,,,,,,
54,2016-12-07,House,INTENSE,320,2016-12-05,David Guetta,Titanium,Dance Pop,,https://www.youtube.com/watch?v=JRfuAukYTKg,Good,NOTHING TO LOSE IF YOU'RE BULLETPROOF,Moonwalker82,,,,,,,,
54,2016-12-07,House,INTENSE,321,2016-12-06,DVBBS,Voodoo,EDM,,https://www.youtube.com/watch?v=OOsjtzL4WOA,Good,LIKE A BEWITCHED VIDEOGAME,Moonwalker82,,,,,,,,
54,2016-12-07,House,INTENSE,322,2016-12-06,Calvin Harris,I Need Your Love,House,,https://www.youtube.com/watch?v=AtKZKl7Bgu0&index=6&list=PLK6EdlauAnBpJmGIUOWWemUMqmM1rIo8N,Good,CAN LOVE BE THIS GOOD,Moonwalker82,,,,,,,,
54,2016-12-07,House,INTENSE,323,2016-12-06,Tiesto,The Right Song,House,,https://www.youtube.com/watch?v=JxEiIeoet6Q,Good,WORKING OVERTIME,Moonwalker82,,,,,,,,
54,2016-12-07,House,INTENSE,324,2016-12-06,Yellow Claw,Shotgun,EDM,,https://www.youtube.com/watch?v=oIwFJNguQgY&index=4&list=PLeAgOpzssBfTaQ27FRjsGKJOacKAbDxvf,Good,BEAUTIFUL BUILD UP,Moonwalker82,,,,,,,,
55,2016-12-05,House,DAY PARTY,325,2016-12-07,Nico & Vinz,Am I Wrong,House,,https://www.youtube.com/watch?v=bg1sT4ILG0w,Good,GET THE MIMOSAS STARTED,NeonMirage,,,,,,,,
55,2016-12-05,House,DAY PARTY,326,2016-12-07,Funkerman,Speed Up,House,,https://www.youtube.com/watch?v=LfN-rQtXpMc,Good,FIND THE FUNK,NeonMirage,,,,,,,,
55,2016-12-05,House,DAY PARTY,327,2016-12-06,Major Lazer,Look at Where We Are,Reggae Fusion,,https://www.youtube.com/watch?v=iNPqddkkcI4,Good,CARIBBEAN RAVING,NeonMirage,,,,,,,,
55,2016-12-05,House,DAY PARTY,328,2016-12-06,Sam Feldt & Kav Verhouzer,Hot Skin,House,,https://www.youtube.com/watch?v=_UHh1j1rCbk,Good,MUSIC TO SPIT GAME TO,NeonMirage,,,,,,,,
55,2016-12-05,House,DAY PARTY,329,2016-12-07,LMFAO,No Getting Over,EDM,,https://www.youtube.com/watch?v=hWjrMTWXH28,Good,PARTY YOUR CARES AWAY,NeonMirage,,,,,,,,
55,2016-12-05,House,DAY PARTY,330,2016-12-07,Sean Paul,One Wine,Reggae Fusion,,https://www.youtube.com/watch?v=-sEvExZNllA,Good,REGGAE INFUSED,NeonMirage,,,,,,,,
56,2016-12-06,House,NO BLUES AT THE BEACH,331,2016-12-05,Chris Brown,Beautiful People,EDM,,https://www.youtube.com/watch?v=qHxlzcAPbBE,Good,HAPPY TO BELONG,DutchGirl16,,,,,,,,
56,2016-12-06,House,NO BLUES AT THE BEACH,332,2016-12-05,The Magician,Sunlight,House,,https://www.youtube.com/watch?v=TFXlWfzW9Uo,Good,COMFORTABLE IN THEIR OWN SKIN,DutchGirl16,,,,,,,,
56,2016-12-06,House,NO BLUES AT THE BEACH,333,2016-12-05,Redondo & Boiler,Sunshine,House,,https://www.youtube.com/watch?v=RCuOAuKp-1g,Good,SINGLE GIRLS SEEKING SUN,DutchGirl16,,,,,,,,
56,2016-12-06,House,NO BLUES AT THE BEACH,334,2016-12-05,Bang La Decks,Watch Out For Zouka,Reggae,,https://www.youtube.com/watch?v=9OqN7otLIIs,Good,SO MUCH TO LOVE TO GIVE,DutchGirl16,,,,,,,,
56,2016-12-06,House,NO BLUES AT THE BEACH,335,2016-12-07,Watermat,Bullit,House,,https://www.youtube.com/watch?v=HoMzLLWNV1g,Good,HAWAIIN VACATION,DutchGirl16,,,,,,,,
56,2016-12-06,House,NO BLUES AT THE BEACH,336,2016-12-07,Michael Woods,In Your Arms,Trance,,https://www.youtube.com/watch?v=Y5iW0FhWkX0,Good,TAKE A RIDE TO THE BEACH,DutchGirl16,,,,,,,,
56,2016-12-05,EDM,DROP LOVERS,337,2016-12-07,Calvin Harris,Brurnin,EDM,,https://www.youtube.com/watch?v=ss6CAIGpoko,Good,DON'T FALL DOWN,DancingDoug,,,,,,,,
57,2016-12-05,EDM,DROP LOVERS,338,2016-12-07,Borgeous,Breathe,EDM,,https://www.youtube.com/watch?v=iqbIT0Uyx0k,Good,EVERYBODY GET READY,DancingDoug,,,,,,,,
57,2016-12-05,EDM,DROP LOVERS,339,2016-12-06,Bassjackers,DERP,EDM,,https://www.youtube.com/watch?v=wYV886CcY_U,Good,A MIAMI BLAST ,DancingDoug,,,,,,,,
