No.,Date,Sub Genre,CollectionName,No.,SongDate,Artist Name,Song Name,Sub Genre 1,Sub Genre 2,YouTube URL,Memo,Tagline,Bot Name,,,,,,,,
5,2016-11-30,Alt/Indie,Memory,27,2016-11-29,The Shins,Simple Song,Dance Rock,,https://www.youtube.com/watch?v=RoLTPcD1S4Q,Good,A GLOW IN THE DARK,RonaldinhoFan,,,,,,,,
5,2016-11-30,Alt/Indie,Memory,28,2016-11-29,The Killers,When You Were Young,Alt/Indie,,https://www.youtube.com/watch?v=ff0oWESdmH0,Good,HE DOESN'T LOOK A THING LIKE JESUS,RonaldinhoFan,,,,,,,,
5,2016-11-30,Alt/Indie,Memory,29,2016-12-01,The Head and The Heart,All We Ever Knew,Alt/Indie,,https://www.youtube.com/watch?v=W50zP8K04-E,Good,YOU GET CAUGHT IN A DREAM,RonaldinhoFan,,,,,,,,
5,2016-11-30,Alt/Indie,Memory,30,2016-12-01,Tor Miller,Carter & Cash,Dance Rock,,https://www.youtube.com/watch?v=oyK-kD55s4o,Good,UNTIL IT ALL BURNS DOWN,RonaldinhoFan,,,,,,,,
6,2016-12-01,Dance Rock,Breaking,31,2016-11-29,Kaleo,Way Down we Go,Blues,,https://www.youtube.com/watch?v=0-7IHOXkiV8,Good,WE GET WHAT WE DESREVE,MinaTurner,,,,,,,,
6,2016-12-01,Dance Rock,Breaking,32,2016-11-29,The 1975,Somebody Else,Synth Pop,,https://www.youtube.com/watch?v=Bimd2nZirT4,Good,I SHOULD BE GETTING OVER IT,MinaTurner,,,,,,,,
6,2016-12-01,Dance Rock,Breaking,33,2016-11-30,Walkmen,The Rat,New Wave/Ethereal,,https://www.youtube.com/watch?v=aWR1h-5EzUo,Good,CAN'T YOU HEAR ME?,MinaTurner,,,,,,,,
6,2016-12-01,Dance Rock,Breaking,34,2016-11-30,Radiohead,High & Dry,Alt/Indie,,https://www.youtube.com/watch?v=BciOfJsqh7M,Good,FLYING ON YOUR MOTORCYCLE,MinaTurner,,,,,,,,
6,2016-12-01,Dance Rock,Breaking,35,2016-11-30,Blood in the Cut,K.Flay,Dance Rock,,https://www.youtube.com/watch?v=k2WcOdz96ko,Good,HEART IN THE BLENDER,MinaTurner,,,,,,,,
6,2016-12-01,Dance Rock,Breaking,36,2016-11-30,Little Green Cars,The John Wayne,Alt/Indie,,https://www.youtube.com/watch?v=CeQhjDoy3l0,Good,IT'S EASY TO FALL IN LOVE WITH YOU,MinaTurner,,,,,,,,
7,2016-12-01,New Wave/Ethereal,Post Punks,37,2016-11-29,The Smiths,This Charming Man,Pop/Soft Rock,,https://www.youtube.com/watch?v=cJRP3LRcUFg,Good,I WOULD GO OUT TONIGHT,WickedWitch,,,,,,,,
7,2016-12-01,New Wave/Ethereal,Post Punks,38,2016-11-29,The Clash,Rocking The Casbah,New Wave/Ethereal,,https://www.youtube.com/watch?v=bJ9r8LMU9bQ,Good,FUNDEMENTALLY CAN'T TAKE IT!,WickedWitch,,,,,,,,
7,2016-12-01,New Wave/Ethereal,Post Punks,39,2016-11-30,Echo and the Bunnymen,The Killing Moon,New Wave/Ethereal,,https://www.youtube.com/watch?v=LWz0JC7afNQ,Good,UNDER THE BLUE MOON I SAW YOU,WickedWitch,,,,,,,,
7,2016-12-01,New Wave/Ethereal,Post Punks,40,2016-11-30,Joy Division,Love Will Tear Us Apart,New Wave/Ethereal,,https://www.youtube.com/watch?v=zuuObGsB0No,Good,TOUCHING FROM A DISTANCE,WickedWitch,,,,,,,,
7,2016-12-01,New Wave/Ethereal,Post Punks,41,2016-12-01,The Cure,Just Like Heaven,New Wave/Ethereal,,https://www.youtube.com/watch?v=8Dhn_iIQXDE,Good,I'll RUN AWAY WITH YOU,WickedWitch,,,,,,,,
7,2016-12-01,New Wave/Ethereal,Post Punks,42,2016-12-01,New Order,Bizzare Love Triangle,New Wave/Ethereal,,https://www.youtube.com/watch?v=tkOr12AQpnU,Good,YOU SAY THE WORDS THAT I CAN'T SAY,WickedWitch,,,,,,,,
8,2016-11-29,Dance Rock,I've got a Crush,43,2016-11-30,The Postal Service,Such Great Heights,Synth Pop,,https://www.youtube.com/watch?v=0wrsZog8qXg,Good,EVERYTHING LOOKS PERFECT,DennisL23,,,,,,,,
8,2016-11-29,Dance Rock,I've got a Crush,44,2016-11-30,Tame Impala,Mind Mischeif,Reggae Fusion,,https://www.youtube.com/watch?v=BgK_Er7WZVg,Good,I JUST DON'T KNOW WHERE I BELONG,DennisL23,,,,,,,,
8,2016-11-29,Dance Rock,I've got a Crush,45,2016-11-30,Passion Pit,The Reeling,Synth Pop,,https://www.youtube.com/watch?v=qVstHPhaJ6M,Good,IS THIS THE WAY I'LL ALWAYS BE?,DennisL23,,,,,,,,
8,2016-11-29,Dance Rock,I've got a Crush,46,2016-11-30,Kings of Convenience,I'd Rather Dance With You,Dance Rock,,https://www.youtube.com/watch?v=OczRpuGKTfY,Good,LET YOUR HIPS DO THE TALKING,DennisL23,,,,,,,,
